"KEY","First_Seen","Last_Seen","Current_Status","Previous_Status","Times_Reopened","Days_Active","Last_Updated"
"192.168.0.243|110417","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110416","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110413","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110409","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110407","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110404","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110403","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110401","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110396","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110395","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110393","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110390","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110387","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110385","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110384","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110381","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110379","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
